"","x","cntry","essround","idno","pspwght","pweight","polintr","happy","gndr","yrbrn","agea","chldhm","edulvla","eisced","eduyrs","pdwrk","edctn","wkhtot","isco08","uemp3m","hinctnta","agea_l"
"1156",1156,"CH",8,2677,1.022381425,0.464939934,1,9,1,1990,26,2,5,6,17,0,1,42,2000,1,7,2016
"792",792,"CH",8,1891,0.973367512,0.464939934,2,5,2,1975,41,1,3,3,9,1,0,45,5100,2,2,2016
"367",367,"CH",8,982,1.147626638,0.464939934,2,10,2,1982,34,1,5,5,13,0,0,25,2635,2,6,2016
"677",677,"CH",8,1641,1.102796197,0.464939934,3,9,2,1955,61,2,2,2,5,1,0,10,9110,1,3,2016
"459",459,"CH",8,1166,0.78312695,0.464939934,1,10,1,1945,71,2,3,3,9,0,0,45,1300,1,4,2016
"280",280,"CH",8,783,0.93108362,0.464939934,1,9,2,1943,73,2,3,4,11,0,0,44,4120,2,5,2016
"36",36,"CH",8,98,1.090924263,0.464939934,2,2,2,1956,60,2,3,3,8,1,0,22,3341,1,6,2016
"273",273,"CH",8,775,0.890090764,0.464939934,1,10,1,1960,56,2,5,5,9,1,0,60,3119,2,6,2016
"846",846,"CH",8,2015,0.890090764,0.464939934,2,8,1,1950,66,2,5,5,18,0,0,25,5153,1,3,2016
"1378",1378,"CH",8,3094,0.899520457,0.464939934,2,9,1,2000,16,2,2,2,10,0,1,666,66666,2,5,2016
"387",387,"CH",8,1024,1.090924263,0.464939934,2,8,2,1948,68,2,2,2,8,0,0,15,7322,2,5,2016
"1461",1461,"CH",8,3295,1.186012149,0.464939934,2,8,1,1980,36,2,5,6,12,1,0,45,3324,1,6,2016
"696",696,"CH",8,1683,0.993800044,0.464939934,4,10,1,1976,40,2,2,2,6,1,0,44,9110,2,77,2016
"960",960,"CH",8,2274,0.899520457,0.464939934,2,9,1,2000,16,2,2,2,9,0,1,666,66666,2,5,2016
"135",135,"CH",8,402,0.866011918,0.464939934,1,10,1,1985,31,2,5,6,12,1,0,30,8100,2,7,2016
"378",378,"CH",8,1006,0.78312695,0.464939934,1,8,1,1956,60,2,3,3,12,1,0,42,5153,2,10,2016
"460",460,"CH",8,1167,0.9878304,0.464939934,3,8,1,1943,73,2,5,5,10,0,0,44,5222,2,4,2016
"414",414,"CH",8,1077,0.866011918,0.464939934,2,8,1,1988,28,2,3,3,9,1,0,50,7120,2,3,2016
"1373",1373,"CH",8,3087,1.140466452,0.464939934,2,7,2,1968,48,1,3,3,8,1,0,32,5320,2,6,2016
"566",566,"CH",8,1399,1.147626638,0.464939934,3,9,2,1989,27,2,3,3,12,0,0,47,2422,1,1,2016
"545",545,"CH",8,1349,1.090924263,0.464939934,2,9,2,1947,69,2,3,3,11,0,0,40,4110,2,4,2016
"500",500,"CH",8,1239,1.17324388,0.464939934,2,8,1,1977,39,2,4,5,11,1,0,40,7212,2,4,2016
"205",205,"CH",8,604,1.140466452,0.464939934,3,10,2,1981,35,2,5,6,13,1,0,40,3313,2,8,2016
"524",524,"CH",8,1298,0.78312695,0.464939934,1,8,1,1961,55,2,3,3,9,1,0,40,7231,2,8,2016
"908",908,"CH",8,2151,0.966035604,0.464939934,1,9,2,1968,48,1,3,3,9,1,0,42,4226,2,4,2016
"1194",1194,"CH",8,2748,1.17324388,0.464939934,1,8,1,1968,48,1,5,5,9,1,0,50,2500,2,77,2016
"295",295,"CH",8,817,1.009714603,0.464939934,2,8,2,1988,28,2,5,7,16,1,0,47,2132,2,6,2016
"19",19,"CH",8,50,0.78312695,0.464939934,2,6,1,1948,68,2,3,3,8,0,0,42,3350,1,2,2016
"219",219,"CH",8,630,1.17324388,0.464939934,2,8,1,1971,45,2,5,7,18,1,0,45,1300,2,10,2016
"180",180,"CH",8,528,0.924070776,0.464939934,3,10,2,1949,67,2,3,3,10,0,0,45,5223,2,3,2016
"1426",1426,"CH",8,3205,1.022381425,0.464939934,3,7,1,1985,31,2,3,3,9,1,0,42,7322,2,4,2016
"309",309,"CH",8,850,0.759676516,0.464939934,2,9,1,1961,55,2,5,5,9,0,0,50,3434,1,5,2016
"574",574,"CH",8,1424,1.140466452,0.464939934,2,8,2,1976,40,2,5,6,15,1,0,42,2341,2,9,2016
"835",835,"CH",8,1983,0.872584283,0.464939934,2,9,1,1999,17,2,2,2,9,1,0,42,7126,2,6,2016
"184",184,"CH",8,542,0.899777412,0.464939934,3,8,1,1931,85,2,2,2,9,0,0,65,6130,2,2,2016
"604",604,"CH",8,1477,0.890090764,0.464939934,3,7,1,1927,89,2,2,2,9,0,0,0,6130,2,1,2016
"1468",1468,"CH",8,3318,1.003414631,0.464939934,2,5,2,1969,47,1,3,3,9,0,0,30,5141,2,6,2016
"1211",1211,"CH",8,2790,0.899520457,0.464939934,4,8,1,1995,21,2,3,3,12,0,0,666,66666,1,88,2016
"83",83,"CH",8,232,0.75395447,0.464939934,1,10,1,1944,72,2,5,5,13,0,0,50,2161,1,3,2016
"1152",1152,"CH",8,2666,1.001342416,0.464939934,3,7,1,1964,52,1,2,2,8,1,0,45,9310,1,3,2016
"118",118,"CH",8,355,0.899520457,0.464939934,3,8,1,1984,32,2,5,7,13,1,0,36,2433,1,6,2016
"155",155,"CH",8,456,1.090924263,0.464939934,2,7,2,1952,64,1,2,2,8,1,0,26,9110,1,77,2016
"722",722,"CH",8,1738,1.003414631,0.464939934,2,8,2,1962,54,1,5,7,9,1,0,5,2330,1,4,2016
