x,cntry,essround,idno,pspwght,pweight,polintr,happy,gndr,yrbrn,agea,chldhm,edulvla,eisced,eduyrs,pdwrk,edctn,wkhtot,isco08,uemp3m,hinctnta
269,CH,8,766,1.147626638,0.464939934,2,6,2,1997,19,2,3,3,9,0,1,666,66666,2,4
270,CH,8,767,1.090924263,0.464939934,3,7,2,1937,79,2,3,3,12,0,0,15,4110,2,3
271,CH,8,771,1.210716963,0.464939934,4,10,2,1961,55,2,2,2,8,1,0,30,2636,2,88
272,CH,8,774,0.93108362,0.464939934,2,8,2,1958,58,2,1,1,10,1,0,42,5320,2,77
273,CH,8,775,0.890090764,0.464939934,1,10,1,1960,56,2,5,5,9,1,0,60,3119,2,6
274,CH,8,776,0.9878304,0.464939934,3,9,1,1949,67,2,5,5,15,0,0,0,2411,2,7
275,CH,8,777,0.93108362,0.464939934,1,9,2,1952,64,2,5,7,14,1,0,40,2000,2,6
276,CH,8,778,1.090924263,0.464939934,3,7,2,1937,79,2,2,2,9,0,0,0,6130,2,2
277,CH,8,779,0.9878304,0.464939934,3,6,1,1946,70,2,1,1,7,0,0,0,7113,2,1
278,CH,8,780,1.147626638,0.464939934,2,9,2,1992,24,2,3,3,10,1,0,42,1000,2,8
279,CH,8,781,1.186012149,0.464939934,1,7,1,1974,42,2,3,4,14,1,0,42,2341,2,88
280,CH,8,783,0.93108362,0.464939934,1,9,2,1943,73,2,3,4,11,0,0,44,4120,2,5
281,CH,8,794,0.979478419,0.464939934,2,8,2,1986,30,2,3,3,10,1,0,47,9320,2,6
282,CH,8,796,1.102796197,0.464939934,2,10,2,1952,64,2,2,2,9,0,0,21,7543,2,2
283,CH,8,797,1.140466452,0.464939934,3,9,2,1980,36,1,5,7,12,1,0,888,2330,2,8
284,CH,8,798,1.032253623,0.464939934,2,9,1,1971,45,2,3,3,9,1,0,888,5111,2,8
285,CH,8,799,1.186012149,0.464939934,2,8,1,1967,49,1,5,6,15,1,0,45,1220,1,4
286,CH,8,800,0.75395447,0.464939934,1,10,1,1954,62,2,5,6,9,0,0,42,1120,2,7
287,CH,8,801,0.78312695,0.464939934,2,8,1,1942,74,2,3,3,9,0,0,46,1324,2,5
288,CH,8,802,0.899777412,0.464939934,3,7,1,1947,69,2,3,3,9,0,0,45,3111,2,4
289,CH,8,805,0.899520457,0.464939934,2,10,1,2000,16,2,2,2,10,0,1,666,66666,2,4
290,CH,8,806,0.890090764,0.464939934,2,10,1,1940,76,2,3,3,8,0,0,40,4321,1,2
291,CH,8,807,1.140466452,0.464939934,4,8,2,1963,53,1,3,3,8,1,0,45,5321,2,3
292,CH,8,808,0.890090764,0.464939934,2,8,1,1944,72,2,3,3,9,0,0,45,1112,2,6
293,CH,8,812,0.75395447,0.464939934,1,10,1,1956,60,2,5,7,17,1,0,888,2636,2,9
294,CH,8,814,0.924070776,0.464939934,2,9,2,1938,78,2,2,2,9,0,0,18,3310,2,77
295,CH,8,817,1.009714603,0.464939934,2,8,2,1988,28,2,5,7,16,1,0,47,2132,2,6
296,CH,8,821,0.890090764,0.464939934,2,9,1,1929,87,2,5,7,18,0,0,60,2161,2,5
297,CH,8,823,1.003414631,0.464939934,2,10,2,1981,35,1,5,5,16,0,0,43,1211,2,7
298,CH,8,824,0.93108362,0.464939934,1,8,2,1947,69,2,3,4,13,0,0,24,2341,2,3
299,CH,8,828,0.899777412,0.464939934,3,7,1,1942,74,2,2,2,8,0,0,0,3119,2,77
300,CH,8,830,1.001342416,0.464939934,1,10,1,1971,45,2,3,3,9,1,0,42,9310,2,6
301,CH,8,832,1.090924263,0.464939934,3,8,2,1940,76,2,3,3,9,0,0,0,5321,2,77
302,CH,8,833,0.899777412,0.464939934,3,7,1,1933,83,2,1,1,7,0,0,666,66666,2,2
303,CH,8,835,0.899520457,0.464939934,3,8,1,1995,21,2,3,3,9,0,1,4,2512,2,3
304,CH,8,836,1.140466452,0.464939934,3,9,2,1968,48,1,2,2,12,1,0,41,8100,2,1
305,CH,8,838,1.147626638,0.464939934,1,10,2,1982,34,1,5,7,17,1,0,32,2642,2,6
306,CH,8,839,0.75395447,0.464939934,2,9,1,1938,78,2,2,2,9,0,0,50,2166,2,3
307,CH,8,847,0.78312695,0.464939934,3,10,1,1946,70,2,2,2,8,0,0,50,7413,2,4
308,CH,8,849,1.17324388,0.464939934,1,8,1,1978,38,2,3,3,10,1,0,55,1000,2,8
309,CH,8,850,0.759676516,0.464939934,2,9,1,1961,55,2,5,5,9,0,0,50,3434,1,5
310,CH,8,855,1.265699387,0.464939934,3,9,2,1963,53,2,3,3,8,0,0,42,5223,1,77
311,CH,8,856,0.759676516,0.464939934,2,7,1,1937,79,2,3,3,8,0,0,45,3118,2,3
312,CH,8,857,1.090924263,0.464939934,1,9,2,1942,74,2,3,3,9,0,0,26,3221,2,77
313,CH,8,858,0.890090764,0.464939934,1,10,1,1946,70,2,3,3,9,0,0,60,1120,2,2
314,CH,8,859,0.924070776,0.464939934,2,7,2,1946,70,2,3,3,9,1,0,25,3221,2,4
315,CH,8,860,1.090924263,0.464939934,2,9,2,1931,85,2,3,4,14,0,0,24,2330,2,77
316,CH,8,863,1.032253623,0.464939934,3,8,1,1972,44,2,5,6,13,1,0,55,2264,2,10
317,CH,8,867,1.001342416,0.464939934,1,9,1,1966,50,2,3,3,9,1,0,42,5153,2,4
318,CH,8,868,0.759676516,0.464939934,1,9,1,1947,69,2,5,5,9,0,0,42,7549,2,3
319,CH,8,869,0.899520457,0.464939934,3,7,1,1993,23,2,3,3,12,1,0,42,5120,2,77
320,CH,8,874,0.174737722,0.464939934,3,8,2,7777,999,2,3,3,9,1,0,43,4120,7,77
321,CH,8,877,0.890090764,0.464939934,2,8,1,1955,61,2,5,5,9,1,0,42,3120,2,6
322,CH,8,880,1.140466452,0.464939934,2,8,2,1968,49,2,5,5,17,1,0,36,3344,2,8
323,CH,8,883,1.147626638,0.464939934,3,8,2,1988,28,2,3,3,9,1,0,45,3324,2,4
324,CH,8,886,1.102796197,0.464939934,1,8,2,1940,76,2,2,2,9,0,0,55,3412,2,2
325,CH,8,894,0.959825993,0.464939934,4,7,2,1951,65,2,3,3,13,0,0,42,4120,2,3
326,CH,8,897,1.140466452,0.464939934,4,8,2,1981,35,1,3,4,17,0,0,42,7543,2,77
