"","x","cntry","essround","idno","pspwght","pweight","polintr","happy","gndr","yrbrn","agea","chldhm","edulvla","eisced","eduyrs","pdwrk","edctn","wkhtot","isco08","uemp3m","hinctnta","agea_l","zv"
"683",683,"CH",8,1658,1.090924263,0.464939934,3,9,2,1958,58,1,3,3,9,0,0,20,7231,2,6,2016,-1.58654109016353
"371",371,"CH",8,990,1.102796197,0.464939934,3,10,2,1958,59,2,5,5,13,0,0,90,5131,2,1,2017,-1.58072812923853
"42",42,"CH",8,112,0.959825993,0.464939934,1,10,2,1948,68,2,5,5,9,0,0,45,4110,2,4,2016,-1.57913208269532
"631",631,"CH",8,1536,1.033508062,0.464939934,2,7,1,1983,33,2,5,6,16,1,0,47,1213,2,9,2016,-1.5710924768869
"1472",1472,"CH",8,3326,1.001342416,0.464939934,4,7,1,1971,46,1,3,3,8,1,0,43,7123,2,2,2017,-1.56565275372242
"1025",1025,"CH",8,2418,0.866011918,0.464939934,3,9,1,1993,23,2,3,3,9,1,0,42,4120,1,77,2016,-1.56152271565412
"72",72,"CH",8,201,1.152878165,0.464939934,3,4,2,1965,51,2,3,3,10,0,0,38,5211,1,2,2016,-1.55205664964212
"1067",1067,"CH",8,2485,1.009714603,0.464939934,3,10,2,1985,31,1,2,2,8,0,0,10,9100,2,3,2016,-1.54914609328682
"520",520,"CH",8,1288,0.890090764,0.464939934,1,9,1,1943,74,2,5,5,10,0,0,70,1120,2,6,2017,-1.54431330585838
"8",8,"CH",8,22,0.924070776,0.464939934,3,3,2,1955,61,2,2,2,8,0,0,44,8100,2,77,2016,-1.5244436556994
"727",727,"CH",8,1749,1.003414631,0.464939934,3,9,2,1967,49,1,3,3,13,1,0,17,3310,2,3,2016,-1.5215252205104
"151",151,"CH",8,447,0.979478419,0.464939934,1,9,2,1986,30,2,5,7,12,1,0,35,2610,1,4,2016,-1.52077619764935
"232",232,"CH",8,662,1.102796197,0.464939934,2,9,2,1960,56,1,3,3,9,0,0,48,5321,2,2,2016,-1.51413401919272
"927",927,"CH",8,2197,0.866011918,0.464939934,3,7,1,2000,16,2,2,2,9,1,0,45,7115,2,77,2016,-1.51006136171219
"1059",1059,"CH",8,2474,1.17324388,0.464939934,1,6,1,1975,41,1,5,6,12,1,0,50,2512,2,9,2016,-1.50736878845911
"62",62,"CH",8,168,1.17324388,0.464939934,1,8,1,1965,51,2,3,4,14,1,0,45,8141,2,77,2016,-1.50142928995521
"995",995,"CH",8,2359,0.899777412,0.464939934,2,8,1,1959,57,1,4,5,9,1,0,40,3100,2,7,2016,-1.49972761092855
"682",682,"CH",8,1657,1.140466452,0.464939934,2,7,2,1967,49,1,3,4,13,1,0,45,7412,1,2,2016,-1.49331475641809
"1061",1061,"CH",8,2478,1.003414631,0.464939934,2,8,2,1966,50,1,3,3,19,1,0,17,4313,2,9,2016,-1.49121115337757
"214",214,"CH",8,622,0.959825993,0.464939934,2,10,2,1951,65,2,2,2,9,1,0,25,5223,2,77,2016,-1.48634064321702
"1330",1330,"CH",8,3011,0.866011918,0.464939934,3,10,1,1995,21,2,3,3,10,1,0,42,8131,2,8,2016,-1.47120179255664
"1225",1225,"CH",8,2816,0.966035604,0.464939934,3,8,2,1967,49,1,3,3,10,1,0,34,7533,2,6,2016,-1.46951963695572
"429",429,"CH",8,1104,1.003414631,0.464939934,3,10,2,1968,48,2,5,6,15,0,0,42,8343,1,9,2016,-1.45885887724039
"666",666,"CH",8,1614,0.890090764,0.464939934,2,9,1,1945,71,2,3,3,12,0,0,40,3111,2,5,2016,-1.45876662474772
"913",913,"CH",8,2158,0.979478419,0.464939934,3,9,2,1983,33,1,3,3,9,1,0,16,7513,2,5,2016,-1.45792094591319
